"CN","GDP","FDINI","NFA","GDPg","GDPpcg","GCaFg","Ind1","ind2","Ser","ExGSgp","ADRold","ADRyoun","PPg","PPf","PPm","PP1519f","PP1519m","PP2024f","PP2024m","PP2529m","PP2529f","PP65above","PP65afnum","PP65af","PP1564m","PP1564f","Lab1524f","Lab1524m","Lab1524tot","Labf","Labtot","RFtoMlabpartcp"
"Leastdevelopedcountries",6.62e+11,1.64e+10,,5.937644124,3.461585102,8.485435942,10.76007175,10.09871794,,-2.46561242,6.234521377,75.13674053,2.393215821,50.20892053,49.79107947,10.54879896,10.74151539,9.136286216,9.133695133,7.894902486,8.031509035,3.43743618,15617293,3.664620345,54.72279422,55.54482348,48.72843611,63.3384144,56.03800109,41.77193433,341314932,73.82612933
"Afghanistan",1.59e+10,1.91e+08,1.06e+09,8.433290482,5.425967848,8.722063001,6.270599208,3.840390139,18.11417044,-37.74274127,4.615930641,95.79048088,2.812616959,48.62476914,51.37523086,10.47762617,10.52977045,8.449411773,8.564132839,7.311592916,7.294948717,2.303284913,348066,2.485214351,50.12696575,49.65733393,17.17700005,76.43800354,47.7519989,13.83065155,7766590,16.99578248
"Angola",8.25e+10,-3.23e+09,7.75e+09,3.452874648,-0.175344168,3.530573056,,,,-19.50909389,4.61275967,93.91715532,3.570098638,51.07599241,48.92400759,10.4763886,10.53522436,8.832506201,8.847801019,7.2621435,7.289210165,2.323458241,306175,2.565136496,50.02553111,50.70044333,57.56299973,58.36500168,57.95600128,49.97023501,9578368,93.57504335
"Bangladesh",1.15e+11,1.23e+09,-1.75e+09,5.571802274,4.396111941,8.564621888,7.032201959,6.646765729,5.528829339,0.941532182,7.420567287,50.81622535,1.119887888,49.43048139,50.56951861,10.23581283,10.38704256,9.818240439,9.650902581,8.891043149,9.317278028,4.689533429,3501952,4.656353354,62.87301192,63.52729478,22.05500031,64.98000336,43.75299835,26.13521655,58860664,35.88525965
"Benin",6.97e+09,53500000,-3.7e+08,2.110199297,-0.715295405,8.33098393,3.268178264,-0.748973182,3.22432059,5.639431616,6.102872988,82.84696398,2.806108844,50.33473366,49.66526634,10.55521961,10.90588977,8.89204435,9.072183406,7.496617299,7.455263237,3.229890581,174505,3.768664614,52.55522525,53.28816824,45.125,39.16999817,42.1269989,49.83381272,3669956,94.89239468
"Bhutan",1.59e+09,75300000,-1.04e+08,11.73085436,9.706576106,46.07625058,12.48112565,20.18328957,12.13350637,7.524271845,6.39547618,46.8501748,1.828358142,47.00520171,52.99479829,11.48843234,10.43608375,11.44633089,10.84815385,11.1634951,9.374004111,4.17334922,13822,4.041154164,66.43560659,63.92227605,46.63100052,42.04999924,44.28900146,42.54150225,352752,86.86589859
"Bolivia",1.96e+10,6.22e+08,64300000,4.126722565,2.452273858,7.147011755,3.843112202,2.589329796,5.017570974,9.852626488,10.02522356,58.43036108,1.621157434,49.88556442,50.11443558,10.10032394,10.33255997,9.174573929,9.309699361,8.335828066,8.297128485,5.951256281,313999,6.346270604,59.24002791,59.48616872,45.23600006,58.74000168,52.06700134,43.32623349,4662547,75.59144663
"BurkinaFaso",8.98e+09,38800000,21300000,5.373373126,2.23944175,4.148811386,9.505917982,-8.800637108,-1.159701232,45.10614848,4.809925615,90.08867295,3.019244688,50.41644102,49.58355898,10.57038799,11.09993914,8.925386573,9.29050655,7.748662735,7.560903006,2.467911853,235656,2.995274793,50.65584129,51.95078748,51.45600128,68.1969986,59.94400024,43.70964713,5906179,73.08887666
"Burundi",2.03e+09,780582.0036,-2.26e+08,3.785902543,0.496039555,6.47942369,4.899387395,-1.330666666,3.599999991,20.22479948,4.992156281,82.7886497,3.221182855,50.89539835,49.10460165,11.66073169,11.34200966,10.42793459,9.746179357,7.761705137,7.914357054,2.658501893,126708,2.839734135,52.91002095,53.5849548,61.89599991,52.71699905,57.49499893,52.0263448,3888282,102.6968311
"CaboVerde",1.66e+09,1.16e+08,-2.68e+08,1.466790097,0.371907559,9.995301298,-3.662802389,10.31284479,3.318424192,6.874952113,8.952476738,56.16908408,1.084919087,50.31758765,49.68241235,11.59043618,11.74823214,10.36726717,11.1941345,9.472545524,8.294763159,5.4217491,16280,6.440230076,61.14946213,59.97879629,29.57500076,51.88199997,40.90200043,39.35465474,196391,63.22780132
"Cambodia",1.12e+10,1.34e+09,-3.73e+08,5.963078575,4.344744362,-7.913465536,13.55602777,29.55968523,3.096222095,20.5612029,5.931686498,52.94978715,1.539045133,51.28603952,48.71396048,11.02710079,12.38052253,9.067841094,9.335554359,12.16717606,11.99228604,3.7334035,316438,4.31209378,61.98094443,63.85092413,77.75800323,79.44499969,78.61199951,50.25275581,8146598,91.64446061
"Cameroon",2.61e+10,5.36e+08,-5.26e+08,3.422507641,0.636570103,2.708482967,-1.213143583,2.184403743,5.363173529,4.205257309,6.042004427,81.51007708,2.730690231,49.99885331,50.00114669,10.77909493,10.9378818,9.585967863,9.661238118,8.104838225,8.087894048,3.221507529,350002,3.505270194,53.24673426,53.39033805,53.08300018,61.39899826,57.26499939,46.76521216,8574179,86.75254155
"CentralAfricanRepublic",1.99e+09,61520000,,3.046634733,2.020575379,12.15203955,1.736847882,0.23593523,2.249798267,10.30096337,6.816323686,78.84049963,1.000713781,50.66607531,49.33392469,10.76249916,10.87554622,9.369485925,9.421405886,7.890304972,7.889245753,3.671464137,91047,4.039547609,53.8508997,53.87421131,49.85200119,53.56100082,51.68899918,45.78384483,1828455,81.13377675
"Chad",1.07e+10,3.13e+08,,13.55010086,9.878044511,29.49914331,10.18145598,9.8674642,11.50506673,21.63890623,5.258357741,99.45226588,3.287309231,49.98809645,50.01190355,10.88050212,10.99707167,8.796051421,8.878810984,7.122399441,7.067631137,2.568678483,165644,2.787592249,48.68589991,49.01313304,57.96099854,58.30599976,58.13499832,45.41314669,4395388,82.0051053
"Comoros",5.3e+08,8342263.125,35300000,2.199999982,-0.236113529,21.33593599,12.71247093,5.698721978,2.784341691,27.27687193,5.267327348,73.28538735,2.412541877,49.59706885,50.40293115,10.77414206,10.94966732,9.682841766,9.794693738,8.272084734,8.227287477,2.950012469,11219,3.279747653,55.94070656,56.07172822,14.80000019,14.64299965,14.72000027,40.77126945,171302,69.02980156
"CongoDemRep",2.16e+10,2742300000,8.78e+09,7.107976576,3.599043063,13.86060983,28.66857557,-3.315300704,7.830299998,38.75190771,5.879979349,90.70581914,3.330935958,50.21731155,49.78268845,10.24959749,10.42672933,8.572850536,8.669714581,7.181704168,7.154024054,2.99104991,1079655,3.332078467,50.70032562,51.03496875,51.43600082,42.13700104,46.77299881,49.8826734,25161388,96.82149675
"CongoRep",1.2e+10,1.52e+09,3.32e+09,8.751601459,5.454836285,2.22200098,11.57237831,5.8,6.534431863,18.18095286,6.062365853,75.771428,3.078362675,49.98538765,50.01461235,9.623438404,9.680076172,8.752734631,8.788003232,8.18708919,8.164558088,3.33401494,78923,3.599337623,55.02347093,54.96721179,43.9620018,43.01300049,43.48600006,48.77679109,1778110,94.50889849
"CotedIvoire",2.49e+10,3.58e+08,1.62e+09,2.017638592,-0.307436734,63.62005047,-4.003464738,-0.956501847,7.216439468,-4.320840579,5.342190979,81.87575926,2.305464264,48.97898333,51.02101667,10.82818732,10.58059844,8.954686903,8.706493161,7.246002413,7.513976921,2.853460884,264114,2.643158051,53.85201048,52.95708273,33.87799835,46.69900131,40.33800125,38.46419319,6957112,66.64452647
"Djibouti",1.13e+09,36500000,-17500000,,,,,,,,5.949822432,56.64987458,1.695078341,49.76660961,50.23339039,10.93397358,11.07982253,10.67098218,10.7579971,8.381026333,8.387631378,3.659184206,16723,3.947939979,61.50303699,61.49843716,43.16999817,46.39699936,44.79999924,40.06315188,329048,66.88280012
"EgyptArabRep",2.19e+11,6385600000,-6688400000,5.14510637,3.091669379,7.779744646,4.049440915,5.063659221,6.405114788,-2.751658577,7.559110143,50.82231033,1.972277516,49.50995096,50.49004904,9.792286484,10.07795183,10.22485117,10.45269188,9.033324801,8.920274572,4.772725311,2293183,5.506947818,63.2480054,63.02727129,19.22500038,49.90000153,34.9070015,23.08399538,28162941,30.0551509
"ElSalvador",18447922400,-1.13e+08,-2.63e+08,2.106213123,1.653208362,10.0868842,2.819048061,1.87633225,1.151854637,13.47108773,11.72317638,51.61837178,0.444647422,52.65668996,47.34331004,10.33779737,11.45840829,8.799946274,8.975315723,7.223548229,7.740178332,7.177093955,246352,7.589196596,59.22314529,63.01803894,30.875,60.86399841,45.56299973,41.13955758,2584933,58.68781533
"Eritrea",2.12e+09,9.1e+07,,2.194190545,0.320461257,7.450509891,,,,17.49610905,6.507971463,75.93361892,1.850515743,49.95254893,50.04745107,10.7110812,10.7914756,10.62573176,10.64380799,9.060829496,9.125232067,3.567153438,84403,3.848156416,54.37207594,55.25291155,68.57499695,75.65899658,72.1289978,46.87218261,2066409,86.23678984
"Ethiopia",2.99e+10,2.88e+08,-3.5e+09,12.55053834,9.616335036,,10.81715583,9.207691132,16.73739952,,6.315854484,85.07897306,2.641594477,50.09484431,49.90515569,11.0841432,11.37504373,8.886975638,8.957370538,7.490929993,7.635310631,3.299908657,1518797,3.456956021,51.80109366,52.69324788,75.30699921,81.76899719,78.56099701,46.93858657,40797577,86.23098637
"GambiaThe",9.52e+08,37100000,12400000,6.526297452,3.215648415,15.7921165,4.747417495,0.417160997,2.693651755,-0.077684987,4.891634152,90.32944695,3.157140562,50.47528377,49.52471623,10.47410422,10.60366502,9.144659508,8.918524494,7.610696979,8.148658964,2.505689511,20653,2.418055627,50.29348556,52.13718043,37.50699997,46.42100143,41.9109993,43.46204239,538838,73.12101438
"Georgia",1.16e+10,9e+08,-1.06e+09,6.24941822,7.656695282,,8.223092854,12.12335012,7.613751263,,21.14987654,26.62636635,-1.315808458,52.4980315,47.5019685,7.367431694,8.29966201,7.734385339,8.860872844,7.542890517,6.841803907,14.31208691,345987,16.78673385,68.42568446,66.98623564,28.4109993,49.28300095,38.99200058,46.34535355,2087206,74.63895561
