"CN","GDP","FDINI","NFA","GDPg","GDPpcg","GCaFg","Ind1","ind2","Ser","ExGSgp","ADRold","ADRyoun","PPg","PPf","PPm","PP1519f","PP1519m","PP2024f","PP2024m","PP2529m","PP2529f","PP65above","PP65afnum","PP65af","PP1564m","PP1564f","Lab1524f","Lab1524m","Lab1524tot","Labf","Labtot","RFtoMlabpartcp"
"Leastdevelopedcountries",9.45e+11,2.85e+10,,5.435476768,2.941399928,8.144891365,7.12730398,7.524156968,,5.45532522,6.292559651,72.15342542,2.422812243,50.18854855,49.81145145,10.53998391,10.79843151,9.162105232,9.228334005,7.852830312,7.951324457,3.52631058,17759861,3.787945383,55.66794646,56.40811964,48.66885754,61.68185809,55.20414606,42.2415808,380520689,74.98147404
"Afghanistan",2.06e+10,4.3e+07,5.14e+08,2.690521948,-0.526844937,2.857391342,2.766861037,-1.834143988,4.444357539,-8.649469162,4.706918195,86.66928666,3.183201455,48.48001044,51.51998956,11.50948562,11.53186696,8.961197379,9.093200546,7.47413229,7.246201961,2.459510679,430252,2.709209165,52.6846146,51.79461211,20.90500069,76.98799896,49.90399933,16.09079747,9567711,20.53028134
"Angola",1.27e+11,1.92e+09,-3.43e+09,4.703970617,1.117470531,5.927360678,,,,-2.115180054,4.521040926,93.47655549,3.485412535,51.00715348,48.99284652,10.37684665,10.41859013,8.738277206,8.701407912,7.261947302,7.326815507,2.283381722,345085,2.513114498,50.05165247,50.94180711,57.39699936,58.07899857,57.73099899,50.05151527,11062740,93.80370088
"Bangladesh",1.73e+11,2.54e+09,1.62e+08,6.061093054,4.840840706,9.855051328,8.160014237,8.766757021,5.624357478,3.201149273,7.700972769,46.06137714,1.157188028,49.52542005,50.47457995,9.93255338,10.17850351,9.491038415,9.494965308,8.834115639,9.205130815,5.008360482,3980774,5.042392512,64.71948509,65.35751624,22.94099998,58.32400131,40.91400146,28.05502105,63214859,39.34454689
"Benin",9.71e+09,4.05e+08,-6.17e+08,6.351831941,3.433603606,10.55621502,6.98865209,10.64718163,5.732842066,24.80588053,6.030800422,80.78012771,2.782287129,50.1994174,49.8005826,10.55343946,10.89107925,8.995964462,9.19225727,7.584127098,7.526407999,3.228291022,194991,3.77606257,53.2831763,53.77496843,46.42499924,40.0379982,43.20100021,49.13340508,4133823,93.17519181
"Bhutan",1.94e+09,2.9e+07,-1.72e+08,5.745455168,4.181025813,24.4107652,3.712273902,9.159066581,8.239226212,-5.753101554,6.791349106,41.44685596,1.490482105,46.85324232,53.14675768,10.43288473,9.509327336,10.85290496,10.11273258,10.57970523,10.45762414,4.581375701,15989,4.3950939,68.53326483,66.24224832,30.15600014,27.9470005,29.02700043,39.19492643,360141,75.85164215
"Bolivia",3.3e+10,6.57e+08,7.67e+08,5.460569752,3.844087843,12.51005333,5.236420053,4.032140969,5.13084601,10.86545812,10.43176138,54.12988676,1.54465177,49.91424104,50.08575896,9.999140747,10.25396497,9.117164322,9.278262821,8.32876036,8.267737072,6.339120629,355947,6.751620773,60.64252754,60.89288685,43.10400009,60.60200119,51.9620018,42.98197926,5052899,74.43987209
"BurkinaFaso",1.24e+10,3.57e+08,-6e+08,4.326837357,1.282015532,-15.08421236,15.25128314,24.70289649,2.957533313,8.183060366,4.677281134,88.33740231,2.961977939,50.24104154,49.75895846,10.59891509,11.07586145,8.891042102,9.216491172,7.651683651,7.476897418,2.423277365,259289,2.934668542,51.29010055,52.32396448,45.28300095,59.61199951,52.55799866,44.71471316,6360090,77.11524158
"Burundi",3.09e+09,81700000,-3.67e+08,4.660918184,1.575577474,10.4985186,7.951551451,7.999999987,4.351895972,5.375325598,4.744029868,84.34334041,2.992264687,50.84654538,49.15345462,10.44775823,10.39989042,9.985736537,9.540045704,7.986805033,8.621820196,2.508908903,134186,2.667907844,52.34002111,53.41309129,57.63199997,46.96300125,52.45299911,52.40523997,4283003,103.7903666
"CaboVerde",1.86e+09,1.81e+08,-1.8e+08,0.611212666,-0.598750895,17.12296024,6.625102915,7.745055978,-0.146245197,-1.224746112,7.206930669,49.67993038,1.209902934,50.21113557,49.78886443,10.9219123,11.06375998,10.64725666,10.79440536,10.04433287,9.210800095,4.593712068,14807,5.601688792,64.34866544,63.13750563,27.29999924,45.69200134,36.51800156,40.60011251,215093,66.97323126
