Series Name	Country Name	Country Code	1990 [YR1990]	2000 [YR2000]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]	2016 [YR2016]	2017 [YR2017]
GDP (current US$)	Least developed countries: UN classification	LDC	1.46E+11	2.04E+11	5.71E+11	5.83E+11	6.62E+11	7.58E+11	8.05E+11	8.75E+11	9.45E+11	9.28E+11	9.30E+11	1.06E+12
GDP (current US$)	Afghanistan	AFG	..	..	10190529882	12486943506	15936800636	17930239400	20536542737	20264253974	20616104298	19215562179	19469022208	20815300220
GDP (current US$)	Angola	AGO	11236275843	9129634978	84178035579	75492385928	82526143645	1.04E+11	1.14E+11	1.25E+11	1.27E+11	1.03E+11	95337203468	1.24E+11
GDP (current US$)	Bangladesh	BGD	31598341234	53369787319	91631278239	1.02E+11	1.15E+11	1.29E+11	1.33E+11	1.50E+11	1.73E+11	1.95E+11	2.21E+11	2.50E+11
GDP (current US$)	Benin	BEN	1959965244	2569186643	7132787397	7097198712	6970240895	7814081156	8152554487	9157355680	9707432016	8291155881	8573159697	9273558272
GDP (current US$)	Bhutan	BTN	299787275.8	439158233.2	1258332337	1264758198	1585472534	1820207626	1823692110	1798333726	1944782821	2059258653	2212638830	2511852941
GDP (current US$)	Bolivia	BOL	4867582620	8397912509	16674324634	17339992165	19649631308	23963033444	27084497540	30659338929	32996187988	33000198263	33941126194	37508642113
GDP (current US$)	Burkina Faso	BFA	3101301781	2628920056	8369637065	8369175126	8979966766	10724063458	11166063467	11947176342	12377391463	10419303761	11448781714	12873114800
GDP (current US$)	Burundi	BDI	1132101253	870486065.9	1611634332	1739781489	2026864469	2355652126	2472384907	2714505635	3093647227	3066681387	3007029030	3477502178
GDP (current US$)	Cabo Verde	CPV	306891107.3	539227277.6	1789333749	1711817182	1664310770	1864824081	1751888562	1850951315	1858121723	1596154666	1638927336	1753736712
GDP (current US$)	Cambodia	KHM	..	3677897739	10351914093	10401851851	11242275199	12829541141	14054443213	15227991395	16702610842	18049954289	20016747754	22158209503
GDP (current US$)	Cameroon	CMR	11151578051	10083937740	26409781215	26017925552	26143818510	29337006833	29104437355	32348149947	34942948737	30916218544	32217537943	34798596482
GDP (current US$)	Central African Republic	CAF	1440711396	914500299.1	1985240986	1981732634	1986015906	2195599557	2169706564	1518565298	1702899386	1583776806	1755468137	1949411659
GDP (current US$)	Chad	TCD	1738605558	1385058162	10351932604	9253484108	10657705536	12156380425	12368071039	12949854263	13922223234	10985793715	9412034269	9981303726
GDP (current US$)	Comoros	COM	250030760.8	203846427.7	523134897	524157261	530493353.2	586281766.8	570865941.2	618663921.9	647720707.1	565689764.6	616654490.4	648920942.7
GDP (current US$)	"Congo, Dem. Rep."	COD	9329305477	19088046306	19788515874	18648373312	21565722425	25839749199	29306223081	32671683662	35917650630	37917704900	34991160100	37241300949
GDP (current US$)	"Congo, Rep."	COG	2798746051	3219910550	11859013281	9593537551	12007880439	14425607180	13677930124	14085851348	14177437982	8553154580	7833508879	8722553001
GDP (current US$)	Cote d'Ivoire	CIV	10795850107	10717022463	24224903100	24277493862	24884505035	25381616734	27040562587	31273049200	35372603446	33145096414	36374849865	40388624117
GDP (current US$)	Djibouti	DJI	452328087.3	551230861.9	999105339.3	1049110685	1128611700	1239144502	1353632942	1324733712	1455035089	1633741923	1764268469	1844674435
GDP (current US$)	"Egypt, Arab Rep."	EGY	43130416913	99838543960	1.63E+11	1.89E+11	2.19E+11	2.36E+11	2.79E+11	2.89E+11	3.06E+11	3.33E+11	3.33E+11	2.35E+11
GDP (current US$)	El Salvador	SLV	4817542204	11784927700	17986886200	17601616000	18447922400	20283783700	21386153000	21977401900	22585841200	23166030400	23912227500	24805439600
GDP (current US$)	Eritrea	ERI	..	706370815.6	1380188800	1856695551	2117039512	2607739837	..	..	..	..	..	..
