"countryName","2016.GDP(currentUS$)","2016.Foreigndirectinvestmentnetinflows(BoPcurrentUS$)","2016.Netfinancialaccount(BoPcurrentUS$)","2016.GDPgrowth(annual%)","2016.GDPpercapitagrowth(annual%)","2016.Grosscapitalformation(annual%growth)","2016.Industry(includingconstruction)valueadded(annual%growth)","2016.Manufacturingvalueadded(annual%growth)","2016.Servicesvalueadded(annual%growth)","2016.Exportsofgoodsandservices(annual%growth)","2016.Agedependencyratioold(%ofworking-agepopulation)","2016.Agedependencyratioyoung(%ofworking-agepopulation)","2016.Populationgrowth(annual%)","2016.Populationfemale(%oftotal)","2016.Populationmale(%oftotal)","2016.Populationages15-19female(%offemalepopulation)","2016.Populationages15-19male(%ofmalepopulation)","2016.Populationages20-24female(%offemalepopulation)","2016.Populationages20-24male(%ofmalepopulation)","2016.Populationages25-29male(%ofmalepopulation)","2016.Populationages25-29female(%offemalepopulation)","2016.Populationages65andabove(%oftotal)","2016.Populationages65andabovefemale","2016.Populationages65andabovefemale(%oftotal)","2016.Populationages15-64male(%oftotal)","2016.Populationages15-64female(%oftotal)","2016.Laborforceparticipationrateforages15-24female(%)(modeledILOestimate)","2016.Laborforceparticipationrateforages15-24male(%)(modeledILOestimate)","2016.Laborforceparticipationrateforages15-24total(%)(modeledILOestimate)","2016.Laborforcefemale(%oftotallaborforce)","2016.Laborforcetotal","2016.Ratiooffemaletomalelaborforceparticipationrate(%)(modeledILOestimate)"
"Leastdevelopedcountries",9.3e+11,3.12e+10,,3.610156926,1.202696797,5.928274912,6.182119127,8.271844643,,2.758360183,6.321444925,70.51918311,2.378849779,50.1745925,49.8254075,10.5342923,10.80747005,9.188521121,9.293890828,7.874086649,7.945055959,3.574656455,18931966,3.852672079,56.19947434,56.89433969,48.41972117,60.47980115,54.48597332,42.52851582,402101911,75.78333543
"Afghanistan",1.95e+10,93600000,5.18e+08,2.366711916,-0.349412121,-5.962474955,-0.803844957,0.997972096,2.198398981,-0.328469174,4.741807624,81.82912453,2.689163473,48.45219852,51.54780148,11.79394563,11.79146034,9.364041214,9.445366824,7.636032964,7.393997489,2.541557556,471038,2.80519905,54.04748657,53.12200315,22.82500076,77.31199646,50.9620018,17.28286169,10551800,22.39353297
"Angola",9.53e+10,4.1e+09,-5.62e+09,-0.813494096,-4.098055833,-18.55111665,,,,1.955957645,4.634845914,92.63936576,3.367572131,50.9763713,49.0236287,10.44772817,10.49343626,8.706886081,8.657185267,7.247130721,7.33252524,2.349443383,379281,2.582239565,50.19815707,51.16487101,56.91699982,57.3409996,57.125,50.0982139,11871028,93.95726915
"Bangladesh",2.21e+11,2.33e+09,1.31e+08,7.113465228,5.96268914,8.909372151,11.09377537,11.6908152,6.246924287,2.196749643,7.690622988,43.77480048,1.080165239,49.55623343,50.44376657,9.777664262,10.05656171,9.347840597,9.438925697,8.782162642,9.085945786,5.077477626,4142888,5.130343091,65.71058938,66.33830221,23.41399956,55.00699997,39.5019989,29.03118613,65383994,41.21295566
"Benin",8.57e+09,1.32e+08,-6.67e+08,3.96485991,1.13109189,0.167444635,2.575399436,4.628125606,3.593682659,14.68692703,6.003364848,79.5308257,2.763534181,50.14227434,49.85772566,10.53954411,10.86285421,9.043823846,9.24525392,7.66080443,7.592347304,3.235718888,205172,3.76350447,53.68224748,54.1133362,45.94400024,39.36700058,42.62200165,49.14948308,4397267,93.63142231
"Bhutan",2.21e+09,8075838.42,-4.46e+08,7.990705411,6.585735863,11.96939507,6.786741017,2.423228128,9.977379396,-1.752044969,7.010998977,39.45201556,1.309546955,46.88280708,53.11719292,9.908050341,9.005437245,10.39868025,9.651818079,10.17123546,10.57140336,4.786873327,17162,4.588659631,69.27956502,67.14223455,33.85300064,31.12800026,32.46300125,39.82959718,387787,77.62033243
"Bolivia",3.39e+10,3.35e+08,-2.26e+09,4.263919404,2.701313052,9.862038781,4.008361711,6.184823211,4.81478187,-5.714340318,10.71670516,52.17926591,1.510046906,49.92980727,50.07019273,9.891530945,10.15822563,9.112121726,9.287964484,8.335195178,8.260586204,6.578864466,381209,7.012291639,61.27531421,61.50271039,35.23199844,54.64899826,45.06600189,41.12074667,4984659,68.9179703
"BurkinaFaso",1.14e+10,3.9e+08,-5.32e+08,5.924577561,2.880813535,-1.135487035,3.845954386,-1.505368901,7.252965849,,4.616150532,86.94498925,2.915614034,50.16440139,49.83559861,10.65251795,11.1161474,8.918968645,9.23189867,7.630962523,7.463069041,2.409753115,273043,2.919036852,51.75314927,52.64922883,44.8219986,58.94900131,52,44.69906133,6787147,77.52805704
"Burundi",3.01e+09,55420.35666,-2.55e+08,-0.570434451,-3.639518164,1.99999996,-1.546609281,1.208465686,0.585451896,1,4.805619852,85.31416837,3.135333146,50.80763484,49.19236516,10.06214818,10.08851346,9.547435328,9.256323949,8.015312148,8.673571771,2.527679994,142862,2.67178649,51.98417405,53.19326007,57.95700073,47.54800034,52.87200165,52.34716052,4572248,103.5006124
"CaboVerde",1.64e+09,1.22e+08,-41700000,3.817470428,2.538512155,25.92518826,4.725942973,9.686798052,3.311300941,-12.17229012,6.842590715,47.23420781,1.239580878,50.18932128,49.81067872,10.50808527,10.6765194,10.53024176,10.53289576,10.05886336,9.525444884,4.441026021,14718,5.434987315,65.50837556,64.30219977,26.36100006,43.04700089,34.70600128,41.251501,224850,68.89755483
"Cambodia",2e+10,2.29e+09,-1.51e+09,6.953094396,5.292483361,9.957558673,10.54417969,6.606871814,6.753092773,8.617423571,6.61798748,48.78126545,1.564833471,51.21646356,48.78353644,9.36138544,10.13510473,9.94984596,11.02667788,8.193520414,8.002708806,4.258699675,401995,4.97954336,63.75145297,64.92041488,73.85700226,76.85500336,75.38800049,49.90440762,9125204,91.2937164
"Cameroon",3.22e+10,6.64e+08,-9.52e+08,4.450453266,1.75591711,7.365447583,3.15717103,4.009886411,4.470705567,-5.691196398,5.866961029,79.55362721,2.613585149,49.96200381,50.03799619,10.43029826,10.54728809,9.202445868,9.280647326,8.192605655,8.168117492,3.16413678,402652,3.438328276,53.87168337,53.99130589,52.11500168,59.87900162,56.01900101,46.93784739,10196177,87.56445373
"CentralAfricanRepublic",1.76e+09,31200000,,4.531285963,3.427394581,1.185829826,2.000077535,,4.249795371,7.840267652,6.923789506,82.32745926,1.06165489,50.67746655,49.32253345,11.37785191,11.51187327,9.075533964,9.183287132,7.327522679,7.287252044,3.65851721,94507,4.058818881,52.81680818,52.86204989,51.18399811,55.93000031,53.53900146,45.27092571,1855564,79.29563403
"Chad",9.41e+09,5.6e+08,,-6.255527085,-9.129830126,-19.74742961,-5.9,-2.103180473,-8.403223213,-3.901114964,4.930254572,94.49576174,3.114092441,49.94873913,50.05126087,11.12474206,11.24213246,9.160541049,9.202659061,7.387096556,7.362238712,2.472222363,193354,2.678454671,50.01423203,50.27382425,55.93600082,55.09999847,55.51599884,45.7280166,5411573,83.35951128
"Comoros",6.17e+08,8015631.043,,2.200000023,-0.13495104,,,,,,5.121313381,70.01395621,2.311191381,49.56316153,50.43683847,10.33053869,10.49075825,9.269234086,9.389025536,8.415134683,8.34385762,2.924204469,12692,3.218656645,57.02420024,57.17502777,14.06799984,13.14400005,13.59899998,41.51360942,205152,71.35275698
"CongoDemRep",3.5e+10,1.2e+09,-1.45e+09,2.399379098,-0.903382021,10.50089224,0.495506134,8.645523092,4.58894,-0.875603937,5.965312514,91.53117801,3.278533569,50.12089235,49.87910765,10.25030948,10.37317723,8.553224952,8.623418263,7.151425939,7.138141908,3.020465071,1311927,3.324425725,50.44304984,50.82365583,51.76200104,42.68700027,47.2120018,49.84811474,30594477,97.10468541
"CongoRep",7.83e+09,2.006e+09,,-2.800018788,-5.268464946,32.89704919,-4.704725905,-0.518723575,-1.5373662,-35.00486559,6.237623371,78.14860553,2.57235739,49.97726221,50.02273779,9.883017377,9.937837329,8.183826044,8.20017636,7.236906507,7.236894495,3.382911733,93534,3.651178804,54.22968637,54.23823889,44.35499954,44.16500092,44.25999832,48.56483118,2059688,93.61432656
"CotedIvoire",3.64e+10,5.77e+08,-2.37e+08,8.342113096,5.65619704,22.9877317,15.16191419,6.348482224,9.147367591,-7.000010342,5.34023548,78.10257737,2.510353568,49.29512136,50.70487864,11.07874593,10.88087555,9.325384426,9.21085321,7.536261581,7.654276619,2.911117311,312762,2.677542738,54.72882247,54.2908127,30.95999908,39.64699936,35.33100128,40.96329701,7806149,72.49563074
"Djibouti",1.76e+09,1.6e+08,-2.84e+08,8.722260061,7.000971092,41.60765034,4.558442281,11.34737942,,-8.075159145,6.475155126,49.11828518,1.595864748,49.80739518,50.19260482,10.28257808,10.41677678,9.915480114,10.00090912,9.826062873,9.784023675,4.161586191,21032,4.481024039,64.30874421,64.23170423,38.2840004,38.13600159,38.20899963,41.91296841,379954,72.12087509
"EgyptArabRep",3.33e+11,8106800000,-26249600000,4.346643456,2.263270591,11.23388582,0.176651125,0.75633021,3.522394905,-14.52755906,8.317562478,54.44630266,2.016789456,49.44034656,50.55965344,8.435155088,8.670501485,8.386045848,8.488059888,8.772678287,8.813101558,5.110202115,2748002,5.808646744,61.4896701,61.38656059,20.20199966,42.31000137,31.48999977,22.99825688,30468857,29.96234718
"ElSalvador",2.39e+10,4.79e+08,-7.78e+08,2.580577366,2.059260887,1.522699187,3.722498892,1.306335675,2.105524566,1.55566421,12.63166563,43.33591037,0.509497673,52.99682255,47.00317745,9.767524164,11.10152839,9.61736803,10.29910604,8.078880834,8.248178439,8.098904885,293539,8.729784387,62.42326187,65.61757621,31.49699974,60.08800125,45.64199829,41.67031571,2799818,59.49339474
"Eritrea",,52300000,,,,,,,,,,,,,,,,,,,,,,,,,68.74500275,75.95500183,72.38899994,,,86.24656834
"Ethiopia",7.3e+10,3.99e+09,-4.89e+09,7.56176669,4.90414649,10.57856879,22.76237274,18.39020129,8.588224235,-8.141084722,6.327571875,74.19666402,2.501821378,50.07238446,49.92761554,11.65305243,11.90087303,9.779046708,9.968373952,7.828493235,7.795445268,3.505109352,1927634,3.759350136,55.08966842,55.69792052,72.08699799,77.8730011,75.00499725,47.26848194,49661396,87.69989947
"GambiaThe",9.63e+08,-1526519.341,-7389392.087,2.216333663,-0.837919977,0.063157895,-3.112894592,0.999998106,5.102787299,7.858942065,4.467041947,87.32851547,3.03358022,50.49975301,49.50024699,10.7401007,10.96023451,9.079199294,9.033403167,7.424687781,7.719529337,2.329064347,22908,2.225285373,51.15720875,53.10105193,36.5,44.67699814,40.56600189,44.26814201,657204,75.41745901
"Georgia",1.44e+10,1.61e+09,-1.77e+09,2.848973396,2.788137287,8.105834284,6.188089501,4.201247332,2.120735044,7.727705137,22.21028099,28.56956374,0.059168417,52.25752675,47.74247325,5.165020733,6.399553062,6.40398027,7.332008597,7.723026289,6.862319738,14.73027624,340889,17.53891888,67.53576681,65.21334089,27.19199944,50.84799957,39.49900055,45.63809481,2034776,73.39791011
"Ghana",4.28e+10,3.49e+09,-2.04e+09,3.721902905,1.42766937,-13.13059977,-0.451635851,2.718592628,5.987248599,5.884816271,5.848632541,66.75954892,2.236737965,50.20193942,49.79806058,10.07924677,10.61820596,9.042688571,9.4912484,8.176648499,8.122639002,3.388386629,521558,3.683234932,57.23834778,58.62500745,51.97700119,55.1969986,53.62099838,49.58725325,13273030,94.47322286
"Guinea",9.28e+09,1.51e+09,-7.1e+08,10.45410582,7.741824286,153.7906324,20.70678006,5.566540392,3.19962242,24.11482315,5.67921343,78.0023925,2.48622533,49.87311143,50.12688857,10.59381657,10.76772937,9.072957343,9.236899123,7.767851841,7.652482624,3.091879234,204839,3.313351867,54.48406075,54.39979658,49.38499832,38.20500183,43.73300171,49.05971627,4581649,96.19924805
"GuineaBissau",1.18e+09,14221700,27164170,6.262805645,3.619137228,-0.925347465,3.59591021,6.148804934,6.026771547,10.68571431,5.294209961,75.04961273,2.519328921,50.81984819,49.18015181,10.26175389,10.58876888,9.405713654,9.510451138,8.232461519,8.359478378,2.935620351,30224,3.27547286,55.02500098,55.86055398,48.7140007,51.40599823,50.05199814,47.0745035,758555,83.85443577
"Haiti",7.97e+09,104900000,1.31e+08,1.452707027,0.178175907,1.409158204,0.807265388,1.506740682,1.239820105,0.666855846,7.602669438,53.81800903,1.264238966,50.54561774,49.45438226,10.1516473,10.56200373,9.588637596,9.758906914,8.97903694,8.932829508,4.709848521,284755,5.193554306,61.50328718,62.38681533,31.41900063,38.77199936,35.10900116,47.96724833,4905887,87.71234487
"Honduras",2.16e+10,1.15e+09,-5.97e+08,3.75214891,2.021160274,-3.987068492,3.383089792,2.912467499,3.271801388,0.397714655,7.166133284,51.12668683,1.682462584,50.14337423,49.85662577,10.61466708,11.03434964,9.974968804,10.29833161,9.094950947,8.914436553,4.527137288,226119,4.948442914,62.89384063,63.45270312,40.87900162,73.31500244,57.33800125,37.80432535,4203355,59.19543446
"India",2.27e+12,4.45e+10,-1.18e+10,7.112686097,5.889836403,4.702647205,6.779610442,7.895590256,7.741473126,0,8.800302181,42.72254493,1.148214693,48.17197145,51.82802855,9.202116197,9.524361739,8.853158567,9.115173176,8.647073384,8.547986641,5.80790445,40274722,6.313845371,65.98949996,66.00433363,16.00499916,48.32300186,33.01100159,24.6932499,512765199,34.79539453
